//
///////////////////////////////////////////ЭKCТPACOЛНEЧНAЯ LA 
//
// Midnight
//	Amb					Amb_Obj 				Dir 					Sky top				Sky bot				SunCore			SunCorona			SunSz		SprSz	SprBght		Shdw			LightShd			PoleShd			FarClp			FogSt			LightOnGround			LowCloudsRGB			BottomCloudRGB			WaterRGBA			Alpha1    RGB1			Alpha2    RGB2			CloudAlpha			IntensityLimit			WaterFogAlpha			DirMult 
	22 22 22 			220 212 130 			255 255 255 			0 23 24 			0 31 32 			255 128 0 			5 0 0 			0.9		0.9		0.3			200 100 0			400.0		100.0		0.9			30 20 0			3 3 3			85 85 65 240			254 87 87 87			254 60 121 122			0	90	0	0.00		
// 5 AM
	22 22 22 			194 194 142 			255 255 255 			0 20 20 			0 31 32 			255 128 0 			255 128 0 			-0.1		0.9		0.1			150 100 0			400.0		100.0		0.9			35 9 10			27 30 36			53 104 104 240			254 80 80 80			254 60 190 190			0	90	0	0.00		
// 6 AM
	22 22 22 			210 194 182 			255 255 255 			90 205 255 			200 144 85 			255 128 0 			255 128 0 			8.3		0.9		0.3			140 93 0			800.0		100.0		0.8			100 34 25			120 92 88			90 170 170 240			254 86 86 86			254 149 94 0			25	120	0	0.00		
// 7 AM
	5 0 0 			210 194 182 			255 255 255 			90 205 255 			90 200 255 			255 255 255 			255 255 255 			2.1		0.9		0.3			100 50 75			800.0		100.0		0.5			120 40 40			159 142 106			145 170 170 240			254 133 106 70			254 96 61 15			25	180	0	0.00		
// Midday
	11 0 0 			210 194 182 			255 255 255 			185 185 185 			182 182 182 			255 255 255 			255 255 255 			1.1		0.9		-0.1			236 0 190			800.0		10.0		-0.1			44 34 23			145 164 183			90 170 170 240			254 63 22 92			254 96 96 96			25	180	0	0.00		
// 7 PM
	8 5 5 			255 255 182 			255 255 255 			68 117 210 			36 117 194 			222 88 0 			122 55 0 			3.9		0.9		-0.1			110 40 75			800.0		10.0		0.8			120 40 40			200 123 96			50 97 97 240			254 124 124 107			254 86 50 10			25	180	0	0.00		
// 8 PM
	25 14 14 			210 194 182 			255 255 255 			181 150 84 			167 108 65 			255 128 0 			255 128 0 			1.9		0.9		0.3			100 60 0			800.0		10.0		0.9			120 40 40			72 107 159			67 67 67 240			254 81 85 40			254 66 27 0			25	140	0	0.00		
// 10 PM
	21 20 20 			210 194 182 			255 255 255 			137 100 84 			60 50 52 			255 128 0 			5 8 0 			0.9		0.9		0.3			160 100 0			600.0		10.0		0.9			70 27 10			15 11 34			67 67 62 240			254 209 143 84			254 76 51 0			25	90	0	0.00		
//
///////////////////////////////////////////COЛНEЧНAЯ LA 
//
// Midnight
//	Amb					Amb_Obj 				Dir 					Sky top				Sky bot				SunCore			SunCorona			SunSz		SprSz	SprBght		Shdw			LightShd			PoleShd			FarClp			FogSt			LightOnGround			LowCloudsRGB			BottomCloudRGB			WaterRGBA			Alpha1    RGB1			Alpha2    RGB2			CloudAlpha			IntensityLimit			WaterFogAlpha			DirMult 
	0 20 20 			210 194 182 			255 255 255 			5 12 15 			12 14 13 			255 128 0 			5 0 0 			0.9		0.3		0.3			200 100 0			800.0		100.0		0.9			0 0 0			3 3 3			85 85 65 240			254 110 126 210			254 0 81 104			55	220	0	0.00		
